Date,Time,Location,LOCATION,LOCATION_EXACT,Operator,OPERATOR_TYPE,Flight #,Route,FROM,FROM_LONGITUDE,FROM_LATITUDE,FROM_STATE,TO,TO_LONGITUDE,TO_LATITUDE,TO_STATE,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Reason,Crash_ID
12/2/2009,22:17,"Clarence Center, New York",Clarence Center,New York,Continental Connection/Colgan Air,Others,3407,"Newark, N.J. - Buffalo, NY",Newark,-74.1723667,40.735657,N.J.,Buffalo,-78.8783689,42.8864468,NY,Bombardier DHC-8-402 Q400,N200WQ,4200,49,49,1,"The commuter plane crashed while attemptiong to land in rain and sleet, 6 miles northeast of Buffalo Niagara International Airport, were it was scheduled to land. Preliminary evidence suggests the crew selected the landing gear down and set the flaps 15 degrees. Immediately after selecting the flaps the stick shaker activated. The captain then pulled on the controls, slowing the airplane even further causing the plane to stall.",1,2/12/2009Bombardier DHC-8-402 Q400
12/3/2009,9:48,"Off St. Johns, Newfoundland",Off St. Johns,Newfoundland,Cougar Helicopters,Others,,St. Johns - Hibernia platform,St. Johns,-52.7128315,47.5605413,,Hibernia platform,NA,NA,,Sikorsky S-92A,C-GZCH,920048,18,17,0,The pilot reported a technical malfunction and radioed that he was returning to St. Johns. He then radioed a mayday. The helicopter then went down in what was a controlled emergency crash landing. The accident happened about 30 miles off St. Johns. Two main gearbox filter bowl assembly mounting studs made of titanium were found broken. This resulted in the loss of gearbox oil.,0,3/12/2009Sikorsky S-92A
1/29/2013,NA,"Kyzyltu, Kazakhstan","Kyzyltu, Kazakhstan","Kyzyltu, Kazakhstan",SCAT Air,Others,760,"Kokshetau - Almaty, Kazakhstan",Kokshetau Kazakhstan,69.3833333,53.2833333,,"Almaty, Kazakhstan",76.912628,43.255058,,Canadair CRJ-200ER,UP-CJ006,,21,21,0,The jet crashed in heavy fog outside of Almaty while attempting to land at Almaty Airport for a second time. The aircraft was found in swampy terrain about 1 mile short of the runway threshold.,2,29/01/2013Canadair CRJ-200ER
2/13/2013,NA,"Donetsk, Ukraine","Donetsk, Ukraine","Donetsk, Ukraine",South Airlines,Others,8971,Odessa - Donetsk,Odessa,30.7233095,46.482526,,Donetsk,37.80285,48.015883,,Antonov AN-24RV,UR-WRA,,45,5,0,"While attempting to land on runway 8 in dense fog, the plane overran the runway , overturned and caught fire. The airplane operated as a charter flight carrying football fans on their way to a match of Shakhtar Donetsk against Borussia Dortmund. Pilot error. A loss of speed by the aircraft during thelanding approach due to an error of the unprepared crew. The crew had no clearance to land given the weather conditions.",1,13/02/2013Antonov AN-24RV
3/4/2013,NA,"Goma, Congo","Goma, Congo","Goma, Congo",Compagnie Africaine d' Aviation (CAA) ,Others,,Lodja - Goma,Lodja,23.5963889,-3.5241667,,Goma,29.2356652,-1.6856738,,Fokker 50,9Q-CBD,,10,7,0,The aircraft crashed short of the runway while attempting to land in heavy rain at Goma Airport crashing into the back yards of several houses in the Lake Kivu area.,0,4/3/2013Fokker 50
3/6/2013,NA,"La Libertad, Peru","La Libertad, Peru","La Libertad, Peru",Aero Transporte S.A. - ATSA,Others,,Callao - La Libertad,Callao,-77.1259843,-12.0508491,,La Libertad,-78.4751945,-8.1435933,,Beechcraft B200 King Air,OB-1992-P,,9,9,0,"The plane, chartered by a Peruvian gold mining company, crashed while atempting to land at an airport in the La Libertad region of Peru in poor weather. The plane struck power lines, crashed and burned. Two employees of Marsa, 5 contractors and both pilots were killed.",2,6/3/2013Beechcraft B200 King Air
3/8/2013,NA," Dillingham, Alaska"," Dillingham, Alaska"," Dillingham, Alaska",Ace Air Cargo,Cargo,31,King Salmon - Dillingham,King Salmon,-156.661351,58.6883251,,Dillingham,-158.4575,59.0397222,,Beechcraft 1900C,N116AX,,2,2,0,The cargo plane crashed about 20 miles northeast of Dillingham while on approach to Dillingham Airport. Wreckage was discovered on Saturday with the pilot and copilot fatally injured. The aircraft was badly fragmented in three sections.,0,8/3/2013Beechcraft 1900C
3/12/2013,NA,"Almer, Brazil","Almer, Brazil","Almer, Brazil",Fretzx Taxi Aereo,Others,,Belem - Santo Antonio do Jari hydroelectic plant,Belem,-48.4901799,-1.4557549,,Santo Antonio do Jari hydroelectic plant,NA,NA,,Embraer EMB 820C Navajo (Piper 31),PT-VAQ,,10,10,0,The plane crashed while enroute. It belonged to air charter company Fretax and was transporting nine employees of the engineering company Cesbe to the Santo Antonio do Jari hydroelectric power plant.,0,12/3/2013Embraer EMB 820C Navajo (Piper 31)
4/13/2013,NA,"Denpasar, Indonesia","Denpasar, Indonesia",,Lion Air,Others,904,Bandung - Denpasar,Bandung,107.6082421,-6.9148644,,Denpasar,115.222099,-8.65629,,Boeing B-737-8GP,,,108,0,0,"The airliner came down in the ocean, 150 feet short of the runway, while on final approach to Denpasar-Ngurah Rai Bali International Airport. All 101 passengers and crew of 7 survived. Forty-five people were injured.",0,13/04/2013Boeing B-737-8GP
5/31/2013,NA,"Bagram Air Base, Afghastan","Bagram Air Base, Afghastan","Bagram Air Base, Afghastan",National Air Cargo,Cargo,102,Bagram - Dubai Al Maktoum,Bagram,69.273331,34.944168,,Dubai Al Maktoum,55.1431018,24.8977876,,Boeing B-747-428BCF,N949CA,,7,7,0,"The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. Four pilots, 2 mechanics and one load master were killed. Shifting of cargo caused loss of control of the aircraft.",0,31/05/2013Boeing B-747-428BCF
7/6/2013,NA,"San Francisco, California","San Francisco, California","San Francisco, California",Asiana Airlines,Others,214,Shanghai - Seoul - San Francisco,Shanghai,121.473701,31.230416,,San Francisco,-122.4194155,37.7749295,,Boeing B-777-28EER,HL7742 ,,307,3,0,"The aircraft crash landed short of the runway while on approach to runway 28L at San Francisco International Airport. The tail section, landing gear, and both engines separated from the fuselage and a fire erupted. Debris was scattered from the ocean front to the runway to where the aircraft came to rest. The plane's voice and flight data recorders show that the aircraft was coming in too slow and too low and that the pilots appear to have increased speed seven seconds before impact. A stall warning sounded four seconds before the crash, and the crew then made an internal decision \to initiate a go-around 1.5 seconds to impact.Two passengers were killed and 182 injured.""",0,6/7/2013Boeing B-777-28EER
8/14/2013,NA,"Birmingham, Alabama","Birmingham, Alabama","Birmingham, Alabama",United Parcel Service,Others,1354,Louisville - Birmingham,Louisville,-85.7584557,38.2526647,,Birmingham,-86.80249,33.5206608,,Airbus A300F-622R,N155UP,,2,2,0,"he cargo plane was on approach when it struck trees, crashed and burst into flames.",0,14/08/2013Airbus A300F-622R
10/3/2013,NA,Associated Aviation,Associated Aviation,Associated Aviation,Associated Aviation,Others,,Lagos - Akure,Lagos,3.417977,6.441158,,Akure,5.195,7.25,,Embraer 120RT Brasilia,5N-BJY,,20,16,0,"The chartered plane crashed minutes after taking off from Murtala Muhammad International Airport.The aircraft lost height, after departing runwal 18L, impacted trees, a brick wall and caught fire.",0,3/10/2013Embraer 120RT Brasilia
10/10/2013,NA,"Kudat, Malaysia","Kudat, Malaysia","Kudat, Malaysia",MASwings,Others,3002,Kota - Kudat,Kota,75.8647527,25.2138156,,Kudat,116.7241241,6.828547,,de Havilland Canada DHC-6 Twin Otter 310,9M-MDM,,16,2,0,"While attempting to land, the Twin Otter struck a house located to the right of runway 22. The nose section was destroyed and the right wing broke off. The co-pilot and one passenger were killed.",0,10/10/2013de Havilland Canada DHC-6 Twin Otter 310
10/14/2013,,"Baja California Sur, Mexico","Baja California Sur, Mexico","Baja California Sur, Mexico",Aereo Servicio Guerrero,Others,,Loreto - Ciudad Constitución,Loreto,13.6065668,43.4396423,,Ciudad Constitución,-72.4167,-35.3333,,Cessna 208B Grand Caravan,XA-TXM,,14,14,,The plane crashed in the Sierra de La Giganta mountains while on a flight from Loreto to Ciudad Constitucion. The wreckage was found the day after contact was lost with the aircraft. ,0,14/10/2013Cessna 208B Grand Caravan
10/16/2013,NA,"Near Pakse, Laos","Pakse, Laos","Pakse, Laos",Lao Airlines,Others,,Vientiane - Pakse,Vientiane,102.614429,17.962769,,Pakse,105.8021009,15.11447,,ATR-72-50,,,49,49,0,"The aircraft crashed into the Mekong River 5 miles from Paskse, while on approach to land. The fuselage broke in two and sank into the river. The weather was poor at the time of the accident, with the tail end of Hurricane Nari affecting the area.",2,16/10/2013ATR-72-50
11/3/2013,NA,"Riberalta, Bolivia","Riberalta, Bolivia","Riberalta, Bolivia",Aerocon,Others,,"Trinidad, Bolivia - Riberalta, Bolivia","Trinidad, Bolivia ",-64.9,-14.8333333,,"Riberalta, Bolivia",-66.0572222,-11.0127778,,Swearingen SA227-AC Metro III,CP-275,,18,8,0,"While landing in heavy rain, the aircraft veered off the runway, caught fire after hitting some brush and came to rest inverted.",0,3/11/2013Swearingen SA227-AC Metro III
11/10/2013,NA,"Red Lake, Ontario, Canada","Red Lake, Ontario, Canada","Red Lake, Ontario, Canada",Bearskin Airlines,Others,,Sioux Lookout - Red Lake,"Sioux Lookout , Canada",-91.922038,50.0978321,,"Red Lake, Canada",-93.828916,51.0145968,,Swearingen SA227-AC Metro II,C-FFZN,,7,5,0,"The aircraft was on approach to runway 26, in light snow, when it crashed and burned in the surrounding forest. Three of the five passengers and the two pilots were killed.",0,10/11/2013Swearingen SA227-AC Metro II
11/17/2013,NA,"Near Kazan, Russia","Kazan, Russia","Kazan, Russia",Tararstan Airlilnes,Others,363,Moscow - Kastan,Moscow,37.6173,55.755826,,Kastan,13.6217204,66.2314065,,Boeing 737-53A,VQ-BBN,,50,50,,"The airliner went into a nearly vertical dive and crashed onto the runway and disintegrated, after attempting to land a second time. The aircraft hit the runway and burst into flames. The pilot in command, in executing a go-around, apparently placed the plane in an excessive nose high attitude, stalling the plane.",0,17/11/2013Boeing 737-53A
11/19/2013,NA,"Off Fort Lauderdale, Florida","Fort Lauderdale, Florida","Fort Lauderdale, Florida",AirVac International,Others,,"Fort Lauderdale - Cozumel, Mexico",Fort Lauderdale -,-80.1373174,26.1224386,,"Cozumel, Mexico",-86.9223432,20.4229839,,Learjet 35A,XA-USD ,,2,2,0,The jet had just taken off from Fort Lauderdale/Hollywood International Airport when the crew radioed a request to return to the airport. That was followed by a Mayday after which the aircraft crashed into the ocean approximately 3 miles from the coast.,0,19/11/2013Learjet 35A
11/29/2013,NA,"Near St. Marys, Alaska","St. Marys, Alaska","St. Marys, Alaska",Hageland Aviation Services,Others,1453,Bethel - Saint Marys,Bethel,-122.3549509,40.611167,,Saint Marys,-78.5609398,41.4273738,,Cessna 208B Grand Caravan,N12373,,10,4,0,The commuter plane crashed about 4 miles East of St. Marys in freezing rain,0,29/11/2013Cessna 208B Grand Caravan
11/29/2013,NA,"Bwabwata National Park, Nambia","Bwabwata National Park, Nambia","Bwabwata National Park, Nambia",Mozambique Airline,Others,470,"Maputo, Mozambique - Luanda, Angola","Maputo, Mozambique",32.5833333,-25.9666667,,"Luanda, Angola",13.2344444,-8.8383333,,Embraer ERJ-190AR,C9-EMC,,33,33,0,The airliner crashed into Bwabwata National Park while en route to Luanda. The plane was found completely burned out with no survivors. The plane went missing in bad weather and poor visibility.,2,29/11/2013Embraer ERJ-190AR
12/11/2013,NA,"Kalaupapa, Hawaii","Kalaupapa, Hawaii","Kalaupapa, Hawaii",Makani Kai Air,Others,,Kalaupapa - Honolulu,Kalaupapa,-156.9818053,21.1893014,,Honolulu,-157.8583333,21.3069444,,Cessna 208B Grand Caravan,N687MA,,9,1,,The aircraft crashed into the ocean shortly after taking off from Kalaupapa Airport. Preliminary indications are that there was catastrophic engine failure.,3,11/12/2013Cessna 208B Grand Caravan
12/26/2013,NA,"Irkutsk, Russia","Irkutsk, Russia","Irkutsk, Russia",IrAvia,Cargo,,Novosibirsk - Ikustsk,Novosibirsk,82.9333333,55.0166667,,Ikustsk,104.3,52.2833333,,Antonov 12,12162,,9,9,0,"he cargo plane, carrying spare parts, crashed into a military army arsenal at Ikustsk-2 Airport while attempting to land. The crew of 6 and 3 technicians were all killed.",0,26/12/2013Antonov 12
1/18/2014,NA,"Near Olive Creek, Guyana","Olive Creek, Guyana","Olive Creek, Guyana",Trans Guyana Airways,Others,700,Olive Creek - Imbaimada,Olive Creek,-86.6545326,36.0892258,,Imbaimada,-60.2949631,5.7075287,,Cessna 208B Grand Caravan,8R-GHS ,,2,2,0,The aircraft crashed in a wooded area while en route. Both crew members aboard were killed.,0,18/01/2014Cessna 208B Grand Caravan
1/20/2014,NA,Near Petreasa Romania,Petreasa Romania,Petreasa Romania,Scoala Superioara de Aviatie Civla,Ambulance,,Bucharest - Oradea,Bucharest,26.1038889,44.4325,,Oradea,21.9211111,47.0722222,,Britten Norman BN-2A-27 Islander,YR-BNP,822,7,2,0,The air ambulance left Bucharest with a medical team to obtain transplant organs. After experiencing problems with the engines the pilot attempted to make an emergency landing but crashed on a hillside in deep snow. All aboard initially survived but the pilot and a medical student died before the rescue party reached the aircraft.,0,20/01/2014Britten Norman BN-2A-27 Islander
2/11/2014,NA,"Near Ain Kercha, Algeria","Ain Kercha, Algeria","Ain Kercha, Algeria",Military - Algerian Air Force,Military,,Tamanarasset - Constatine,Tamanarasset,5.5227778,22.785,,Constatine,6.609458,36.36002,,Lockheed C-130H-30 Hercules,7T-WHM,4919,78,77,0,The military transport crashed into a mountainous region approximaely 30 miles southeast of Constatine Airport. Unfavorable weather conditions and storms accompanied by snow were reported in the area.,2,11/2/2014Lockheed C-130H-30 Hercules
2/16/2014,NA,"Sandhikhark, Nepal","Sandhikhark, Nepal","Sandhikhark, Nepal",Nepal Airlines,Others,183,Kathmandu - Pokhara - Jumla,Kathmandu,85.3333333,27.7,,Jumla,82.12784,29.2787765,,de Havilland Canada DHC-6 Twin Otter 300,9N-ABB,302,18,18,0,The passenger plane crashed into a snow covered mountain and burst into flames while en route from Pokhara to Jamia. Weather was poor at the time of the accident.,2,16/02/2014de Havilland Canada DHC-6 Twin Otter 300
2/21/2014,NA,"Grombalia, Tunisia","Grombalia, Tunisia","Grombalia, Tunisia",Libyan Air Cargo,Cargo,,Tripoli - Tunis,Tripoli ,13.187507,32.876174,,Tunis,10.16596,36.81881,,Antonov 26,5A-DOW ,11809,11,11,0,"The aircraft, carrying a medical team with three patients, was destroyed when it crashed in a field, 20 miles from Tunis-Carthage Airport. The pilot reported an engine on fire prior to the accident.",3,21/02/2014Antonov 26
2/26/2014,NA,"Near Lanai Airport, Hawaii",Hawaii,Hawaii,Maui Air,Others,,Lanai - Kahului,Lanai,-156.9273193,20.8165975,,Kahului,-156.47,20.8947222,,Piper PA-31-350 Chieftain,N483VA,31-7552124,6,3,,The charter flight crashed in flat grasslands near the Maui Electric Co. power plant shortly after taking off from Lanai Airport. The pilot and two passengers were killed. The plane was destroyed by fire.,0,26/02/2014Piper PA-31-350 Chieftain
3/8/2014,NA,South Indian Ocean,South Indian Ocean,South Indian Ocean,Malaysia Airlines,Others,370,Kuala Lumpur - Beijing,Kuala Lumpur,101.686855,3.139003,,Beijing,116.407525,39.90403,,Boeing 777-200,9M-MRO,28420/404,239,239,0,Radar contact was lost with the aircraft 2 hours into the flight at 0240. All indications are that the aircraft changed direction from its flight path and crashed in a remote part of the Indian Ocean southwest of Perth Australia. It is assumed all 227 passengers and crew of 12 perished.,0,8/3/2014Boeing 777-200
4/1/2013,NA,"Los Roques, Venezuela","Los Roques, Venezuela","Los Roques, Venezuela",Transaereo 5074,Others,,Los Roques - Caracas,Los Roques,-16.4142301,28.2202351,,Caracas,-66.902061,10.491016,,Britten Norman BN-2A-27 Islander,YV-2615,,6,6,0,"The flight disappeared while en route from Los Roques island to Caracas. When the plane was approximately 11 miles from Los Roques Airport, radar showed it began rapidly losing altitude and speed. It is presumed to have crashed in the ocean. The son of Italian designer Ottavio Missoni was among those onboard.",0,04/012013Britten Norman BN-2A-27 Islander
12/14/2006,18:32,"Near Port Heiden, Alaska",Near Port Heiden,Alaska,PenAir,Others,,Port Heiden - King Salmon,Port Heiden,-158.6269444,56.9491667,,King Salmon,-156.661351,58.6883251,,Piper PA-32-301 Cherokee,N8361Q,32-8106055,2,2,0,"The charter crashed in hilly terrain about 18 northeast of Port Heiden. The weather at the time of the crash was mostly cloudy with winds gusting to 29 mph and 6 miles visibility. The pilot's failure to maintain control of the airplane during cruise flight, which resulted in an uncontrolled descent, and an in-flight collision with snow-covered terrain. Contributing to the accident were the pilot's spatial disorientation, and dark night conditions.",1,12/14/2006Piper PA-32-301 Cherokee
6/25/2003,15:50,"Anchor Point, Alaska",Anchor Point,Alaska,Hallo Bay Air - Air Taxi,Others,,"Hallo Bay, AK - Homer, AK",Hallo Bay,-154.0489739,58.4523603,AK,Homer,-151.5483333,59.6425,AK,Cessna 180H,N91303,18052039,3,3,0,"The airlpane is presumed to have collided with the ocean waters of the Cook Inlet, about 7 miles southwest of Anchor Point, Alaska. No wreckage has been located, and the airplane is presumed to be destroyed. A fatally injured passenger was located on July 3, in ocean waters near Anchor Point. An in-flight collision with water for an undetermined reason.",0,6/25/2003Cessna 180H
8/27/2004,16:30,"Near MGrath, Alaska",Near MGrath,Alaska,Mavrik Aire Transport,Others,,Kenai - McGrath - Kotzebue,Kenai,-151.2583333,60.5544444,,McGrath - Kotzebue,-162.5966666,66.8983333,,de Havilland DHC-3 Otter,N197TT,197,3,1,0,"Thirty minutes after departure from McGrath, the pilot encountered low visibility due to smoke and fog. After deciding to fly at a lower altitude, the aircraft struck trees and crashed into a forest. Rescue teams found the bodies and the survivors 2 days later. The pilot's inadequate in-flight planning/decision making, his continued VFR flight into instrument meteorological conditions, and his failure to maintain obstacle clearance. Factors contributing to the accident were low ceilings due to smoke, rain, and mist.",1,8/27/2004de Havilland DHC-3 Otter
9/18/2000,15:10,"Nuiqsut, Alaska",Nuiqsut,Alaska,Cape Smythe Air Service,Cargo,181,Deadhorse - Nuiqsut,Deadhorse,-148.4597191,70.2001996,,Nuiqsut,-150.9763889,70.2175,,Piper PA-31-350 Navajo,N220CS,8275013,10,5,0,"The belly cargo pod  lightly scraped the runway for about 40 feet, but the airplane transitioned to a climb. As the airplane began climbing away from the runway, the landing gear was observed to extend. The airplane climbed to about 100 to 150 feet above the ground, and then began a descending left turn. The airplane collided with the ground on a 095 degree heading. The wreckage path extended for about 300 feet, during which the landing gear, left wing, and the left engine separated from the airplane. A postcrash fire destroyed the fuselage, right wing, and the right engine. The pilot's failure to extend the landing gear, his improper aborted landing procedure, and inadvertent stall/mush. Factors in the accident were an improper adjustment of the landing gear warning horn system by company maintenance personnel, and the failure of the pilot to utilize the prelanding checklist.",3,9/18/2000Piper PA-31-350 Navajo
7/30/2001,16:00,"Haines, Alaska",Haines,Alaska,Air Taxi,Others,,"Shagway, AK - Return",Shagway,-135.3138889,59.4583333,AK,Return,51.4148071,32.6706477,,Piper PA-32-300,N39586,32-7840168,6,6,0,"The sightseeing plane impacted the side of a mountain in poor visibility. The pilot's continued flight into known adverse weather conditions, and his poor in-flight decision making. Factors associated with the accident were clouds and mountainous terrain. A finding is the pilot's use of FAA prohibited drugs.",2,7/30/2001Piper PA-32-300
8/14/2000,23:57,"Teslin Lake, British Columbia, Canada",Teslin Lake,"British Columbia, Canada",RCMP-GRC Air Services,Others,,Teslin - Dease Lake,Teslin,-132.7203711,60.1686052,,Dease Lake,-130.0382773,58.6259858,,Cessna 208 Caravan I,C-GMPB,208-00082,2,2,0,"The float plane took off, entered a steep climb, stalled and crashed into the water. The pilot's decision to depart from the unlit location was likely the result of the many psychological and physiological stressors encountered during the day. The pilot most likely experienced spatial disorientation precipitated by local geographiand environmental conditions and lost control of the aircraft.",0,8/14/2000Cessna 208 Caravan I
1/21/2006,,"Near Port Alberni, British Columbia, Canada",Near Port Alberni,"British Columbia, Canada",SoniBlue Airways,Others,604,Tofino - Vancouver,Tofino,-125.9066184,49.1529842,,Vancouver,-123.1139268,49.261226,,Cessna 208B Grand Caravan,C-GRXZ,208B0469,8,3,0,"The pilot issued a mayday after experiencing engine trouble while en route and asked to divert to Port Alberni Airport on Vancouver Island but crashed into mountainous wooded area, 6 miles from the airport runway.",3,1/21/2006Cessna 208B Grand Caravan
1/13/1999,6:33,"Mayne Island, British Columbia, Canada",Mayne Island,"British Columbia, Canada",Kelowna Flightcraft Air Charter,Cargo,,Vancouver - Victoria,Vancouver,-123.1139268,49.261226,,Victoria,144.7851531,-37.4713077,,Douglas DC-3C,C-GWUG,32963,2,2,0,"Shortly after taking off, the cargo plane began to lose altitude until it hit trees, went off a cliff and crashed to a valley floor. The accident flight was not conducted in accordance with the night obstacle clearance requirements of Canadian Aviation Regulation. The Kelowna Flightcraft company operations manual did not reflect the restrictive conditions imposed on night visual flight rules (VFR) flight by CAR 705.32. Such information might have prevented the accident by ensuring the crew's awareness of those night obstacle clearance standards.",0,1/13/1999Douglas DC-3C
11/16/2008,10:32,"Thormanby Island, British Columbia, Canada",Thormanby Island,"British Columbia, Canada",PacifiCoastal Airlines,Others,,Vancouver - Powell River - Toba Inlet,Vancouver,-123.1139268,49.261226,,Powell River - Toba Inlet,-124.5,50.4166667,,Grumman G-21A Goose,C-FPCK,1187,8,7,0,The charter aircraft crashed into a steep hillside on south Thormanby Island and exploded into flames.,0,11/16/2008Grumman G-21A Goose
11/29/2003,8:01,"Spokane, Washington",Spokane,Washington,Ameriflight,Cargo,1996,Seattle - Spokane,Seattle,-122.3320708,47.6062095,,Spokane,-117.4260466,47.6587802,,Swearingen SA227AT Merlin IVC,N439AF,AT-439B,1,1,0,"The cargo plane struck trees one mile short of the runway. The pilot-in-command's failure to maintain proper glidepath alignment during an ILS approach in poor weather resulting in collision with trees and terrain. Contributing factors were the unreliable status of the primary (NAV 1) ILS receiver (leaving the pilot with only the secondary (NAV 2) ILS receiver), the low ceilings and trees.",1,11/29/2003Swearingen SA227AT Merlin IVC
7/16/1999,21:41,"Off Martha's Vineyard, Massachusetts",Off Martha's Vineyard,Massachusetts,Private,Others,-,"Fairfield, N.J. - Martha's Vineyard, MA",Fairfield,-122.0399663,38.2493581,N.J.,Martha's Vineyard,-70.645473,41.3804981,MA,Piper PA-32-R301 Saratoga II HP,N9253N,3213100,3,3,0,"The aircraft, piloted by John F. Kennedy Jr., 38, crashed into the sea approximately 34 miles west of Martha's Vineyard while en route from Fairfield, New Jersey to Martha's Vineyard, Massachusetts. Killed along with Kennedy were his wife Carolyn and her sister Lauren Bessette. Kennedy's failure to maintain control of the airplane during a descent over water at night, which was a result of spatial disorientation. Contributing factors in the accident were haze, and the dark night.",0,7/16/1999Piper PA-32-R301 Saratoga II HP
